category,num_seeds,mean_test_auroc,std_test_auroc,mean_test_auprc,std_test_auprc,mean_test_best_f1,std_test_best_f1,mean_test_f1_at_val_threshold,std_test_f1_at_val_threshold,mean_test_fpr_at_95_tpr,std_test_fpr_at_95_tpr,best_run_name,best_seed,best_test_auroc
carpet,3,0.9238,0.01412550884039222,0.9706666666666667,0.013739116905148374,0.9330666666666666,0.010448125828747186,0.9231333333333334,0.00417652167878168,0.30949999999999994,0.08244561844027855,carpet_final_s44,44,0.9349
grid,3,0.9393666666666668,0.026665020782540818,0.9700000000000001,0.021455302374937507,0.9457,0.008833459118601263,0.9210666666666666,0.0211887548792593,0.24240000000000003,0.05248113946933699,grid_final_s45,45,0.9655
hazelnut,3,0.9890666666666666,0.008373967598058503,0.9946666666666667,0.004135617648348705,0.9755333333333334,0.01761031894467936,0.9570666666666666,0.03770203354374052,0.049999999999999996,0.08660254037844387,hazelnut_final_s45,45,0.9986
leather,3,0.8976333333333333,0.017004803243005604,0.9647666666666667,0.005404936015655829,0.9007333333333335,0.010020146372849726,0.8845333333333333,0.00850490054811539,0.5416666666666666,0.03608439182435161,leather_final_s45,45,0.9144
metal_nut,5,0.60852,0.013988102087131063,0.89672,0.007883019725967956,0.8952,0.0,0.7762800000000001,0.016725041106078024,1.0,0.0,metal_nut_final_s45,45,0.6209
pill,5,0.67066,0.0411736930575823,0.90574,0.022027891410663872,0.9212,0.003267261850540923,0.9104599999999999,0.007156675205708306,0.7384600000000001,0.11666418902131023,pill_final_s47,47,0.7281
screw,3,0.9994666666666667,0.0009237604307034277,0.9998333333333335,0.0002886751345947811,0.9972,0.004849742261192835,0.9916,0.0,0.0,0.0,screw_final_s43,43,1.0
tile,3,0.9752666666666667,0.014969747270189075,0.9919333333333333,0.0047226405043506335,0.9686333333333333,0.013105851110604472,0.9474,0.02927439153936424,0.07843333333333333,0.08987304008062336,tile_final_s44,44,0.9916
toothbrush,3,0.7037,0.16682313988173225,0.8811,0.06276910067859826,0.8729666666666667,0.035892106838876586,0.8301333333333334,0.028681410936934944,0.7778,0.1924308447209023,toothbrush_final_s45,45,0.8667
transistor,5,0.7377,0.05128352561983234,0.70782,0.06926681745251473,0.66584,0.04017478064656981,0.56362,0.05374715806440373,0.7066600000000001,0.11879066882545955,transistor_final_s44,44,0.8067
wood,3,0.9889,0.019225763964014538,0.9972333333333333,0.004792007234273879,0.9943666666666666,0.00975721954930469,0.9828666666666667,0.017251183534277667,0.0,0.0,wood_final_s44,44,1.0
zipper,3,0.8191333333333333,0.09096594600911563,0.9508666666666666,0.02601544413100289,0.8959,0.016789580101956095,0.8639333333333333,0.03498061367862683,0.7291666666666666,0.19094065395649332,zipper_final_s43,43,0.924
